kit_part_number,component_part_number,line_number,qty_per_kit,uom
C-310-2,AN526C1032R8,10,200,ea
C-310-2,AN526C1032R10,11,55,ea
C-310-2,DP1080-17SS,12,30,ea
C-310-2,NAS1515-H-08L,13,100,ea
C-310-2,NAS1515-H-3L,14,100,ea
C-335/340,AN526C632R8,1,100,ea
C-335/340,AN526C832R8,2,375,ea
C-335/340,AN526C1032R8,3,200,ea
C-335/340,MS24693-C50,4,500,ea
C-335/340,MS24693-C272,5,400,ea
C-335/340,MS24693-C273,6,135,ea
C-335/340,6RX1/2THBS,7,25,ea
C-335/340,8RX1/2THBS,8,30,ea
C-335/340,10RX1/2THBS,9,30,ea
C-335/340,8RX1/2FHBS100,10,12,ea
C-335/340,NAS1515-H-08L,11,100,ea
C-335/340,NAS1515-H-3L,12,100,ea
C-335/340,DP1085-20SS,13,30,ea
C-336/337,MS24693-C30,1,10,ea
C-336/337,MS24693-C48,2,40,ea
C-336/337,MS24693-C50,3,100,ea
C-336/337,MS24693-C270,4,100,ea
C-336/337,MS24693-C272,5,100,ea
C-336/337,MS24693-C273,6,220,ea
C-336/337,MS24693-C276,7,50,ea
C-336/337,AN526C832R6,8,60,ea
C-336/337,AN526C832R8,9,80,ea
C-336/337,AN526C1032R8,10,200,ea
C-336/337,AN526C1032R16,11,25,ea
C-336/337,6RX1/2THBS,12,26,ea
C-336/337,6RX5/8THBS,13,12,ea
C-336/337,8RX1/2THBS,14,80,ea
C-336/337,10RX1/2THBS,15,25,ea
C-336/337,8RX5/8FHBS100,16,120,ea
C-336/337,NAS1515-H-08L,17,100,ea
C-336/337,NAS1515-H-3L,18,100,ea
C-336/337,DP1085-20SS,19,50,ea
C-401/402,6RX1/2THBS,1,50,ea
C-401/402,8RX1/2THBS,2,110,ea
C-401/402,10RX1/2THBS,3,30,ea
C-401/402,AN526C632R8,4,50,ea
C-401/402,AN526C632R10,5,60,ea
C-401/402,AN526C832R8,6,225,ea
C-401/402,MS51957-45,7,60,ea
C-401/402,AN526C1032R8,8,70,ea
C-401/402,MS24693-C28,9,110,ea
C-401/402,MS24693-C29,10,10,ea
C-401/402,MS24693-C50,11,410,ea
C-401/402,MS24693-C273,12,915,ea
C-401/402,NAS1515-H-08L,13,100,ea
C-401/402,NAS1515-H-3L,14,100,ea
C-411/414,AN526C632R12,1,50,ea
C-411/414,AN526C832R8,2,165,ea
C-411/414,AN526C832R12,3,50,ea
C-411/414,AN526C1032R8,4,40,ea
C-411/414,MS24693-C28,5,100,ea
