kit_part_number,component_part_number,line_number,qty_per_kit,uom
C-182/182RG,DP1085-20SS,15,16,ea
C-206/207,8RX1/2FHBS100,1,190,ea
C-206/207,6RX1/2THBS,2,25,ea
C-206/207,8RX1/2THBS,3,170,ea
C-206/207,10RX1/2THBS,4,25,ea
C-206/207,AN526C832R8,5,34,ea
C-206/207,AN526C1032R10,6,12,ea
C-206/207,AN526C1032R8,7,21,ea
C-206/207,MS24693-C270,8,100,ea
C-206/207,MS24693-C6,9,21,ea
C-206/207,MS24693-C28,10,11,ea
C-206/207,DP1085-20SS,11,18,ea
C-206/207,NAS1515-H-06L,12,35,ea
C-206/207,NAS1515-H-08L,13,35,ea
C-206/207,NAS1515-H-3L,14,35,ea
C-208,MS24693-C48,1,220,ea
C-208,MS24693-C50,2,60,ea
C-208,MS24693BB50,3,30,ea
C-208,MS24693-C270,4,15,ea
C-208,MS24694-C9,5,20,ea
C-208,MS24694-C52,6,8,ea
C-208,MS24693-C3,7,19,ea
C-208,MS24694-C4,8,100,ea
C-208,MS24694-C7,9,6,ea
C-208,MS24694-C49,10,78,ea
C-208,MS24694-C59,11,1,ea
C-208,MS24694-C55,12,1,ea
C-208,MS24694-C56,13,9,ea
C-208,MS24694-C57,14,6,ea
C-208,MS24694-C58,15,10,ea
C-208,AN526-1032R28,16,25,ea
C-208,AN525-10R6,17,200,ea
C-208,AN525-10R7,18,30,ea
C-208,AN525-10R8,19,120,ea
C-208,AN525-10R12,20,10,ea
C-208,AN525-10R14,21,10,ea
C-208,AN525-832R6,22,52,ea
C-208,AN525-832R7,23,22,ea
C-208,8RX1/2FHBS100,24,100,ea
C-208,MS27039-C0805,25,8,ea
C-210,6RX1/2THBS,1,25,ea
C-210,8RX1/2THBS,2,165,ea
C-210,10RX1/2THBS,3,25,ea
C-210,8RX1/2FHAS100,4,112,ea
C-210,AN526C832R8,5,103,ea
C-210,AN526C1032R8,6,20,ea
C-210,MS24693-C26,7,63,ea
C-210,MS24693-C28,8,10,ea
C-210,MS24693-C272,9,163,ea
C-210,MS24693-C50,10,84,ea
C-210,DP1085-20SS,11,17,ea
C-210,DP1080-17SS,12,26,ea
C-210,NAS1515-H-08L,13,35,ea
C-210,NAS1515-H-3L,14,35,ea
C-310-1,6RX1/2THBS,1,26,ea
C-310-1,8RX1/2THBS,2,100,ea
C-310-1,10RX1/2THBS,3,36,ea
C-310-1,MS24693-C28,4,105,ea
C-310-1,MS24693-C29,5,56,ea
C-310-1,MS24693-C49,6,40,ea
C-310-1,MS24693-C50,7,51,ea
C-310-1,MS24693-C272,8,307,ea
C-310-1,AN526C832R8,9,303,ea
C-310-1,AN526C1032R8,10,51,ea
C-310-1,AN526C1032R10,11,55,ea
C-310-1,NAS1515-H-08L,12,100,ea
C-310-1,NAS1515-H-3L,13,100,ea
C-310-2,6RX1/2THBS,1,26,ea
C-310-2,8RX1/2THBS,2,100,ea
C-310-2,10RX1/2THBS,3,36,ea
C-310-2,MS24693-C28,4,105,ea
C-310-2,MS24693-C29,5,56,ea
C-310-2,MS24693-C50,6,51,ea
C-310-2,MS24693-C272,7,307,ea
C-310-2,AN526C632R10,8,40,ea
C-310-2,AN526C832R8,9,450,ea
